parameter,role,lower,upper,p05,median,p95,mean,std,best_fit,near_bound_5pct
P0,SCE-UA,3e-05,0.0002,6.387859367682678e-05,0.0001155192199918,0.00017113755723635997,0.00011837547094012954,3.1816651116204026e-05,0.0001079790003967,False
Hs,SCE-UA,0.125,1.0,0.2977749770473293,0.5760288164773395,0.8899490810585069,0.5671564747256991,0.17576680389308103,0.656523436221556,False
D,SCE-UA,0.0001,0.002,0.00030578065687222,0.0010142857127201,0.00164357267518918,0.001018724645422001,0.00040042394856842645,0.0010937164504134,False
r,SCE-UA,0.25,0.95,0.40738059301952595,0.5042024814280186,0.5942426614876973,0.5027098765423521,0.05844743337450042,0.4202056692862832,False
phi_soil_top,SCE-UA,0.45,0.6,0.48433080509917253,0.5408501716704459,0.5800769302464044,0.5395536277326057,0.02747018085670448,0.5564487880712556,False
phi_weathered_top,SCE-UA,0.25,0.45,0.25516528123933196,0.309230163379847,0.3874139882771905,0.31205517627628443,0.038765912896353436,0.2503643715608549,True
phi_fresh,SCE-UA,0.05,0.1,0.09396191282506432,0.0976036181108969,0.09957025811314502,0.09721737239663106,0.0018472743206859542,0.0991914666516301,True
