behavioral_id,candidate_id,P0,Hs,D,r,phi_soil_top,phi_weathered_top,phi_fresh,objective_value,mean_training_rmse_s,mean_training_normalized_rmse,n_picks,n_failed_lines,status,message,soil_exceeds_rd_depth_fraction,mean_H_soil_m,mean_H_weathered_m,mean_D_fresh_m,max_H_soil_m,max_H_weathered_m,max_D_fresh_m,mean_H_m_m,max_H_m_m,mean_H_w_m,max_H_w_m,mean_D_f_m,max_D_f_m,mean_h_weathered,max_h_weathered,mean_d_fresh,max_d_fresh,mean_z_s_relief,max_z_s_relief,mean_Zs_m,max_Zs_m,mean_z_b_relief,max_z_b_relief,mean_Zb_m,max_Zb_m,mean_D_fresh_raw_m,max_D_fresh_raw_m,mean_D_fresh_geometric_m,max_D_fresh_geometric_m,min_Vp_m_per_s_soil,mean_Vp_m_per_s_soil,max_Vp_m_per_s_soil,min_phi_soil,mean_phi_soil,max_phi_soil,min_Vp_m_per_s_weathered,mean_Vp_m_per_s_weathered,max_Vp_m_per_s_weathered,min_phi_weathered,mean_phi_weathered,max_phi_weathered,min_Vp_m_per_s_fresh,mean_Vp_m_per_s_fresh,max_Vp_m_per_s_fresh,min_phi_fresh,mean_phi_fresh,max_phi_fresh,TL1_rmse_s,TL1_normalized_rmse,TL1_n_picks,TL2_rmse_s,TL2_normalized_rmse,TL2_n_picks,TL3_rmse_s,TL3_normalized_rmse,TL3_n_picks,TL4_rmse_s,TL4_normalized_rmse,TL4_n_picks,TL5_rmse_s,TL5_normalized_rmse,TL5_n_picks
10,1492,0.00012698737924150076,0.9663663483645101,0.0009191249061033448,0.5533118137149717,0.542355772514471,0.32536677247558,0.09997423428208566,1.1863018243545105,0.005033052387210281,1.1863018243545105,5269,0,ok,,0.13134444013948082,1.831958427503621,6.200252184345107,8.032210611848727,3.2413712152819603,39.50039099471496,41.443868194547086,1.831958427503621,3.2413712152819603,6.200252184345107,39.50039099471496,8.032210611848727,41.443868194547086,6.200252184345107,39.50039099471496,8.032210611848727,41.443868194547086,17.903994371644835,92.78030954707648,17.903994371644835,92.78030954707648,9.90649159851745,51.3364413525294,9.90649159851745,51.3364413525294,7.997502773127386,41.443868194547086,7.997502773127386,41.443868194547086,350.01718171629466,408.49823540278845,556.2620518236874,0.3253684055327061,0.46983195681406154,0.542355772514471,545.7207352402937,1540.3846919413952,3144.3107990448143,0.09997698973644759,0.21586958127146189,0.325366343460022,3144.367868428599,3144.3678684286015,3144.367868428599,0.09997423428208566,0.09997423428208553,0.09997423428208566,0.005428535394121623,1.2795180630315293,1349.0,0.006468076685763155,1.5245402952459124,992.0,0.004285054264289668,1.0099969760105192,976.0,0.004828201874144419,1.1380180953817054,976.0,0.00415539371773254,0.979435692102886,976.0
11,1489,4.66715187983769e-05,0.3747352393351109,0.001508480868055244,0.5142645141383333,0.5588683115217716,0.30107949202253736,0.099828793934398,1.1867913884583337,0.005035129431796115,1.1867913884583337,5269,0,ok,,0.11403848637479014,1.7234961029928715,6.998900519475136,8.722396622468006,3.5999120755455976,43.26407185130551,45.06668873624503,1.7234961029928715,3.5999120755455976,6.998900519475136,43.26407185130551,8.722396622468006,45.06668873624503,6.998900519475136,43.26407185130551,8.722396622468006,45.06668873624503,17.903994371644835,92.78030954707648,17.903994371644835,92.78030954707648,9.207388966669386,47.71362081083146,9.207388966669386,47.71362081083146,8.69660540497545,45.06668873624503,8.69660540497545,45.06668873624503,345.70622940249405,403.4168198138241,574.0717705085743,0.3010825135224478,0.478605911586631,0.5588683115217716,577.6125367431562,1590.042904462578,3146.5322259690506,0.09983049542215094,0.2029633277107719,0.3010738358463599,3146.5686540554043,3146.5686540554107,3146.5686540554043,0.099828793934398,0.09982879393439785,0.099828793934398,0.005369340819151327,1.2655657679078784,1349.0,0.00647162872893391,1.5253775198502817,992.0,0.004287192048341891,1.0105008565438651,976.0,0.004994705195699151,1.1772633046355174,976.0,0.0040527803668542976,0.9552494933541259,976.0
12,718,0.00017277119734464508,0.8631408861785351,0.0006405677842953656,0.5099576070236352,0.5936921258906307,0.27464175429559323,0.09867261182608683,1.187840895776973,0.0050395821142476035,1.187840895776973,5269,0,ok,,0.11726720909208317,1.8461623583401563,6.95332214577351,8.799484504113666,2.9687191007454823,43.49821652935397,45.46628491153722,1.8461623583401563,2.9687191007454823,6.95332214577351,43.49821652935397,8.799484504113666,45.46628491153722,6.95332214577351,43.49821652935397,8.799484504113666,45.46628491153722,17.903994371644835,92.78030954707648,17.903994371644835,92.78030954707648,9.130278125928633,47.31402463553926,9.130278125928633,47.31402463553926,8.7737162457162,45.46628491153722,8.7737162457162,45.46628491153722,337.0809171697789,409.94665276202454,596.371593120417,0.27465805355907813,0.4839367833035273,0.5936921258906307,623.6241998707767,1656.2336112651903,3164.167504287626,0.0986731612706882,0.1887782708935466,0.2746415944848708,3164.1798549864143,3164.1798549864147,3164.1798549864143,0.09867261182608683,0.09867261182608705,0.09867261182608683,0.005412254198170429,1.2756805483438904,1349.0,0.006536416458804011,1.5406481342265588,992.0,0.0042333506531452335,0.9978103179931649,976.0,0.004925905828309865,1.1610471382280807,976.0,0.0040899834328084785,0.9640183400931698,976.0
13,1313,6.172687036182058e-05,0.3941512586862006,0.0009620442870076186,0.40387328851307036,0.574722552504016,0.2520773095214621,0.09534279602730988,1.1883836175739826,0.005041884687825383,1.1883836175739826,5269,0,ok,,0.09337466098411469,1.7417995624080103,8.944095630245442,10.685895192653453,3.217067915678341,53.46911706436733,55.30882082103809,1.7417995624080103,3.217067915678341,8.944095630245442,53.46911706436733,10.685895192653453,55.30882082103809,8.944095630245442,53.46911706436733,10.685895192653453,55.30882082103809,17.903994371644835,92.78030954707648,17.903994371644835,92.78030954707648,7.230945084395703,37.471488726038395,7.230945084395703,37.471488726038395,10.673049287249132,55.30882082103809,10.673049287249132,55.30882082103809,341.6141489164745,404.01721088913985,618.3786886473002,0.25208678090232817,0.4787022747203489,0.574722552504016,675.3744866905258,1728.2716865389673,3215.9770120611092,0.0953468057424586,0.1757195627462678,0.2520771886993622,3216.0725685147336,3216.0725685147336,3216.0725685147336,0.09534279602730988,0.09534279602731013,0.09534279602730988,0.005395164074695522,1.2716523676104163,1349.0,0.006530559640225443,1.5392676688488636,992.0,0.0041683652308153315,0.98249310705725,976.0,0.0050495688593797175,1.190194794178606,976.0,0.004065765634010902,0.958310150174777,976.0
14,1344,0.0001613085372471929,0.3706288331955224,0.0010186825970427333,0.43149851167846964,0.4708694046572426,0.2767843412341364,0.09965542891423755,1.1893758819363613,0.00504609450898159,1.1893758819363613,5269,0,ok,,0.09841146842309183,1.7426841266775928,8.450896800518262,10.193580927195855,3.2658487615081784,50.90678292577743,52.745744064445276,1.7426841266775928,3.2658487615081784,8.450896800518262,50.90678292577743,10.193580927195855,52.745744064445276,8.450896800518262,50.90678292577743,10.193580927195855,52.745744064445276,17.903994371644835,92.78030954707648,17.903994371644835,92.78030954707648,7.725546924464443,40.03456548263121,7.725546924464443,40.03456548263121,10.17844744718039,52.745744064445276,10.17844744718039,52.745744064445276,370.73444462320083,425.62063014866555,594.4543560081183,0.27678603255049905,0.412641566854384,0.4708694046572426,619.3667593930901,1642.895857327462,3149.130711579393,0.09965836802519337,0.19058859389422275,0.276783479663079,3149.1962362709405,3149.1962362709437,3149.1962362709405,0.09965542891423755,0.09965542891423768,0.09965542891423755,0.0054723802902475836,1.2898524041552246,1349.0,0.006368586536791855,1.5010902422462904,992.0,0.004361872746174015,1.0281032658308114,976.0,0.004823665886031309,1.136948952730318,976.0,0.004203967085663187,0.9908845447191624,976.0
15,1257,0.00010600649717921096,0.5921289085139012,0.0009593869472446029,0.48940629334218433,0.5401379132803009,0.27516421197852914,0.09845901127147498,1.1898513655423435,0.005048111815074388,1.1898513655423435,5269,0,ok,,0.10861423220973783,1.7622981979232224,7.400542704599009,9.16284090252223,3.226214541384157,45.509899955303354,47.373042156501306,1.7622981979232224,3.226214541384157,7.400542704599009,45.509899955303354,9.16284090252223,47.373042156501306,7.400542704599009,45.509899955303354,9.16284090252223,47.373042156501306,17.903994371644835,92.78030954707648,17.903994371644835,92.78030954707648,8.762327521446027,45.40726739057518,8.762327521446027,45.40726739057518,9.141666850198806,47.373042156501306,9.141666850198806,47.373042156501306,350.5776293473163,409.6174620697901,595.9177045265076,0.27516599814805665,0.45983028387936986,0.5401379132803009,622.588116194545,1648.2862882853296,3167.3356277575094,0.09846437277232825,0.189517595323042,0.27516241512114586,3167.456146332758,3167.456146332762,3167.456146332758,0.09845901127147498,0.09845901127147501,0.09845901127147498,0.005404905391118463,1.2739484179105314,1349.0,0.006555868249692446,1.5452329653077035,992.0,0.004223539793529261,0.9954978762052571,976.0,0.005024310305867036,1.1842412960213462,976.0,0.004031935335164732,0.9503362722668791,976.0
16,1361,9.762254389194535e-05,0.8149413093271826,0.0005420008415800831,0.5067866168201927,0.5516019957290678,0.28569953753358024,0.09844429283137056,1.1909869213939688,0.005052929570532989,1.1909869213939688,5269,0,ok,,0.11261784837918119,1.8016852723398504,7.051450546127624,8.853135818467473,2.819271268180716,43.83981453084372,45.76049036418337,1.8016852723398504,2.819271268180716,7.051450546127624,43.83981453084372,8.853135818467473,45.76049036418337,7.051450546127624,43.83981453084372,8.853135818467473,45.76049036418337,17.903994371644835,92.78030954707648,17.903994371644835,92.78030954707648,9.073504735173659,47.019819182893116,9.073504735173659,47.019819182893116,8.83048963647118,45.76049036418337,8.83048963647118,45.76049036418337,347.6790021283983,404.3809528722348,586.6473672590726,0.28570039218997006,0.47237711072196253,0.5516019957290678,602.6887234861458,1615.387682637743,3167.655573000593,0.09844549740286138,0.19571662937829454,0.2856993640703658,3167.6821656356474,3167.6821656356387,3167.6821656356474,0.09844429283137056,0.09844429283137048,0.09844429283137056,0.005434702188446359,1.2809715903932635,1349.0,0.006533440068742292,1.5399465923611928,992.0,0.004220559806033607,0.9947954864165811,976.0,0.004998574061310589,1.1781752050052996,976.0,0.004077371728132101,0.961045732793507,976.0
17,1490,6.807312543105051e-05,0.16085799894522523,0.0014929272239352972,0.40727282146517907,0.529759701078797,0.27207075398862096,0.09706435946655007,1.1927149713606635,0.005060261065631064,1.1927149713606635,5269,0,ok,,0.09608678806664084,1.7222026462901923,8.904791400525111,10.626994046815303,3.589414786385276,53.19178694079134,54.993411101425956,1.7222026462901923,3.589414786385276,8.904791400525111,53.19178694079134,10.626994046815303,54.993411101425956,8.904791400525111,53.19178694079134,10.626994046815303,54.993411101425956,17.903994371644835,92.78030954707648,17.903994371644835,92.78030954707648,7.291810303236478,37.78689844565053,7.291810303236478,37.78689844565053,10.612184068408357,54.993411101425956,10.612184068408357,54.993411101425956,353.265549878675,414.2163845715935,598.7221726668682,0.2720901821673415,0.44975810579669045,0.529759701078797,628.8810495712605,1673.5864918561963,3189.009027640429,0.09706500230134135,0.18629590055314554,0.27207014485830006,3189.023649243378,3189.023649243382,3189.023649243378,0.09706435946655007,0.0970643594665502,0.09706435946655007,0.005455559779456223,1.285887771740694,1349.0,0.006398622020750887,1.5081696737075072,992.0,0.004317718876238711,1.0176960988818509,976.0,0.004932237560523459,1.1625395418230442,976.0,0.004197167091186037,0.9892817706502213,976.0
18,1214,7.926876422262536e-05,0.48291320195465837,0.0014007411885007602,0.48260323717567655,0.5681357400532934,0.27658127498834506,0.09735006375477931,1.193556040468931,0.005063829419650478,1.193556040468931,5269,0,ok,,0.1078393387575875,1.7340292119431668,7.55100813657805,9.285037348521216,3.539579045920309,46.18649227320401,48.00423181349605,1.7340292119431668,3.539579045920309,7.55100813657805,46.18649227320401,9.285037348521216,48.00423181349605,7.55100813657805,46.18649227320401,9.285037348521216,48.00423181349605,17.903994371644835,92.78030954707648,17.903994371644835,92.78030954707648,8.64052564213089,44.776077733580436,8.64052564213089,44.776077733580436,9.263468729513944,48.00423181349605,9.263468729513944,48.00423181349605,343.2796610475964,404.8766784571847,594.6220732346183,0.276593278563528,0.47776689076942025,0.5681357400532934,619.7718646651122,1656.5164813801523,3184.5106606978516,0.09735316016670126,0.18913684388587282,0.2765797008429923,3184.5804369068173,3184.580436906818,3184.5804369068173,0.09735006375477931,0.09735006375477956,0.09735006375477931,0.005395868366166487,1.2718183707021002,1349.0,0.0065799715281567965,1.5509141625246936,992.0,0.004222170945196289,0.9951752355590371,976.0,0.005084812438470489,1.1985017854347293,976.0,0.0040363238202623265,0.9513706481240943,976.0
19,1468,0.00012528833704306412,0.7186963088971612,0.0006308278016334398,0.51743985922731,0.5685921640063264,0.30994288306021806,0.09816827525632851,1.1948996309963662,0.005069529791489004,1.1948996309963662,5269,0,ok,,0.11455508200955702,1.7960266021512032,6.868090729048488,8.66411733119969,2.9193983355012754,42.86052287832179,44.772079235970985,1.7960266021512032,2.9193983355012754,6.868090729048488,42.86052287832179,8.66411733119969,44.772079235970985,6.868090729048488,42.86052287832179,8.66411733119969,44.772079235970985,17.903994371644835,92.78030954707648,17.903994371644835,92.78030954707648,9.264240327270453,48.0082303111055,9.264240327270453,48.0082303111055,8.639754044374383,44.772079235970985,8.639754044374383,44.772079235970985,343.16268600228034,397.70474968312004,567.3006152010224,0.3099451455711761,0.4909322787167561,0.5685921640063264,564.948500154446,1564.9094793754348,3171.9229591758567,0.09816846533820339,0.20816963393386925,0.3099427444814926,3171.9270139296596,3171.9270139296596,3171.9270139296596,0.09816827525632851,0.09816827525632853,0.09816827525632851,0.005469077579884584,1.289073947857234,1349.0,0.006474500322309332,1.5260543608998054,992.0,0.004267318334895081,1.0058165773619996,976.0,0.004972011732589521,1.1719144040843752,976.0,0.0041647409877665,0.9816388647784174,976.0
