line,rmse_s,normalized_rmse,coverage_90,n_picks,dataset
TL1,0.005436582697962721,1.2814148307369653,0.17049666419570053,1349,calibration
TL2,0.00651527242766585,1.535664438293421,0.11794354838709678,992,calibration
TL3,0.004225658486934711,0.9959972570300067,0.17418032786885246,976,calibration
TL4,0.005006502625535161,1.1800439855147224,0.1598360655737705,976,calibration
TL5,0.004109354766575803,0.9685842072490042,0.2489754098360656,976,calibration
TL6,0.007176991425286862,1.6916331017793487,0.09118852459016394,976,validation
TL7,0.0032241821859046193,0.7599470291446742,0.19576719576719576,945,validation
