behavioral_id,line,rmse_s,normalized_rmse,P0,Hs,D,r,phi_soil_top,phi_weathered_top,phi_fresh
0,TL3,0.004252294312694264,1.0022753813690346,0.00010797900039674402,0.656523436221556,0.0010937164504134875,0.4202056692862832,0.5564487880712556,0.2503643715608549,0.09919146665163017
1,TL3,0.004268643698474131,1.0061289685534274,8.102336095194722e-05,0.4818269332258849,0.0018031414116614628,0.4276089958883482,0.5613274439791254,0.26737028327734824,0.09808144579495326
2,TL3,0.00425351028821438,1.0025619895477114,0.00013182956517717527,0.5770792283881605,0.0015796165782956707,0.4753646342684709,0.4776306150263996,0.2913301076654846,0.09839563138709922
3,TL3,0.004236116408472739,0.9984622127755588,0.0001405039626277336,0.4484095085774559,0.0008620890662889319,0.4131050708401669,0.5541104768390097,0.25826503801643225,0.09747431717914236
4,TL3,0.004198074282958205,0.9894955978015333,9.891899782496952e-05,0.3177851052881483,0.001397083555597475,0.4343892710273358,0.5038888423736971,0.25439034204505695,0.0977271522676989
5,TL3,0.00423560868618261,0.9983425414841224,0.00017608209759693746,0.4300191431433469,0.0014340695061535332,0.45145835592836703,0.5518697721895113,0.25382317020226636,0.09885547900102777
6,TL3,0.0042558618060412135,1.0031162476148565,0.00014824847751461207,0.5237984180386143,0.0006466836743921744,0.4743222133814297,0.5640468807277158,0.27668516336166554,0.09902866765439607
7,TL3,0.004204769189905651,0.991073602502184,0.0001221985160138013,0.38863311176284887,0.0019441112718751334,0.4391562334713354,0.5357209788007109,0.27349515075993164,0.09626374921540767
8,TL3,0.004251417914981886,1.0020688124472217,0.00011505678440235968,0.6894028253748222,0.0008401231220393461,0.49821185839678805,0.5354300913099174,0.28826707984211974,0.09925287005289961
9,TL3,0.004281409190057811,1.0091378237747606,0.0001121204259949338,0.6406894303438614,0.0003267866048511181,0.4441007228539786,0.5227485079956771,0.2671517804921295,0.09940709790056632
10,TL3,0.004285054264289668,1.0099969760105192,0.00012698737924150076,0.9663663483645101,0.0009191249061033448,0.5533118137149717,0.542355772514471,0.32536677247558,0.09997423428208566
11,TL3,0.004287192048341891,1.0105008565438651,4.66715187983769e-05,0.3747352393351109,0.001508480868055244,0.5142645141383333,0.5588683115217716,0.30107949202253736,0.099828793934398
12,TL3,0.0042333506531452335,0.9978103179931649,0.00017277119734464508,0.8631408861785351,0.0006405677842953656,0.5099576070236352,0.5936921258906307,0.27464175429559323,0.09867261182608683
13,TL3,0.0041683652308153315,0.98249310705725,6.172687036182058e-05,0.3941512586862006,0.0009620442870076186,0.40387328851307036,0.574722552504016,0.2520773095214621,0.09534279602730988
14,TL3,0.004361872746174015,1.0281032658308114,0.0001613085372471929,0.3706288331955224,0.0010186825970427333,0.43149851167846964,0.4708694046572426,0.2767843412341364,0.09965542891423755
15,TL3,0.004223539793529261,0.9954978762052571,0.00010600649717921096,0.5921289085139012,0.0009593869472446029,0.48940629334218433,0.5401379132803009,0.27516421197852914,0.09845901127147498
16,TL3,0.004220559806033607,0.9947954864165811,9.762254389194535e-05,0.8149413093271826,0.0005420008415800831,0.5067866168201927,0.5516019957290678,0.28569953753358024,0.09844429283137056
17,TL3,0.004317718876238711,1.0176960988818509,6.807312543105051e-05,0.16085799894522523,0.0014929272239352972,0.40727282146517907,0.529759701078797,0.27207075398862096,0.09706435946655007
18,TL3,0.004222170945196289,0.9951752355590371,7.926876422262536e-05,0.48291320195465837,0.0014007411885007602,0.48260323717567655,0.5681357400532934,0.27658127498834506,0.09735006375477931
19,TL3,0.004267318334895081,1.0058165773619996,0.00012528833704306412,0.7186963088971612,0.0006308278016334398,0.51743985922731,0.5685921640063264,0.30994288306021806,0.09816827525632851
20,TL3,0.004291404373863295,1.011493711190782,0.00013728049010941975,0.8007984108997145,0.000873227094921351,0.5812751662122329,0.535455436107691,0.36144192789399865,0.09950285823068097
21,TL3,0.004380181026550514,1.0324185688995073,0.00010325064135030743,0.5006514519602627,0.0010357100034666417,0.4698136443664744,0.5574480341278899,0.2947240557138515,0.09933173807799256
22,TL3,0.0043358269174124196,1.021964205117829,0.00013415030972219004,0.5760288164773395,0.0009889231569279373,0.5501896773935822,0.5783281141829955,0.3437058180731465,0.0995052381319127
23,TL3,0.0042376834794428655,0.998831574945418,0.00012629030026850045,0.6419865562371484,0.0007218660873740707,0.5524313164677128,0.5325302995319043,0.3288029045227131,0.09823351146842989
24,TL3,0.004210906881508582,0.9925202702866054,8.943818192376503e-05,0.9125731598736332,0.0010856675918457937,0.4206103433630134,0.5766447114662289,0.2707040375086496,0.09397573878570922
25,TL3,0.004290962524435317,1.011389566281853,0.00011555126448552412,0.6349899903761715,0.0012087573259185057,0.5348445397115174,0.5122347201101762,0.34380444985268577,0.09760361811089693
26,TL3,0.0042551348193015015,1.002944895197029,0.00011659569695734827,0.5366719559563877,0.0016806948643280268,0.47086046493761424,0.505737551297375,0.2589376436384716,0.09818618213679517
27,TL3,0.004374902792899802,1.0311744772971387,9.793208798270314e-05,0.9317707230366044,0.0005868861585404189,0.492917672444827,0.5249139786091899,0.30605762109627144,0.09919812032598907
28,TL3,0.004186486056909058,0.9867642267277753,0.00010485363531054337,0.7559458497912014,0.000417566373749382,0.5047805110133395,0.5131542313278299,0.29170540004433865,0.09657813627884969
29,TL3,0.004301608807394994,1.0138989192402592,0.00013740904219194217,0.5776568115406051,0.0011919630569110543,0.5954565442853503,0.5427045571603717,0.3744518364214618,0.09935499124336
30,TL3,0.0043076665452267135,1.015326741740079,9.19319134046201e-05,0.4106351536005304,0.0006706170022270244,0.4626598888959981,0.49666423104258306,0.3006136325669993,0.0969280758573352
31,TL3,0.004244614900193121,1.0004653264840058,0.00015263759359774763,0.5250201545287687,0.0009246606040837313,0.5518225042110942,0.5584870479782404,0.339434112551687,0.09727256060728323
32,TL3,0.004369484787336607,1.0298974411390582,0.00010020346836054101,0.6099506520325733,0.0006444570172951438,0.43466668976702433,0.5563301196546124,0.2796248719787172,0.0981065241125087
