parameter,p05,median,p95,mean,std
P0,6.387859367682678e-05,0.00011551921999186755,0.0001711375572364006,0.00011837547094016157,3.181665111622048e-05
Hs,0.29777497704732936,0.5760288164773395,0.8899490810585069,0.5671564747256991,0.175766803893081
D,0.000305780656872277,0.0010142857127201559,0.0016435726751892062,0.0010187246454220508,0.00040042394856842445
r,0.407380593019526,0.5042024814280186,0.5942426614876973,0.5027098765423521,0.05844743337450042
phi_soil_top,0.4843308050991726,0.5408501716704459,0.5800769302464044,0.5395536277326057,0.027470180856704475
phi_weathered_top,0.255165281239332,0.30923016337984705,0.3874139882771905,0.31205517627628443,0.03876591289635343
phi_fresh,0.09396191282506434,0.09760361811089693,0.09957025811314509,0.09721737239663109,0.001847274320685957
