behavioral_id,soil_exceeds_rd_depth_fraction,mean_H_soil_m,mean_H_weathered_m,mean_D_fresh_m,max_H_soil_m,max_H_weathered_m,max_D_fresh_m,mean_H_m_m,max_H_m_m,mean_H_w_m,max_H_w_m,mean_D_f_m,max_D_f_m,mean_h_weathered,max_h_weathered,mean_d_fresh,max_d_fresh,mean_z_s_relief,max_z_s_relief,mean_Zs_m,max_Zs_m,mean_z_b_relief,max_z_b_relief,mean_Zb_m,max_Zb_m,mean_D_fresh_raw_m,max_D_fresh_raw_m,mean_D_fresh_geometric_m,max_D_fresh_geometric_m,min_Vp_m_per_s_soil,mean_Vp_m_per_s_soil,max_Vp_m_per_s_soil,min_phi_soil,mean_phi_soil,max_phi_soil,min_Vp_m_per_s_weathered,mean_Vp_m_per_s_weathered,max_Vp_m_per_s_weathered,min_phi_weathered,mean_phi_weathered,max_phi_weathered,min_Vp_m_per_s_fresh,mean_Vp_m_per_s_fresh,max_Vp_m_per_s_fresh,min_phi_fresh,mean_phi_fresh,max_phi_fresh
0,0.0982823195144001,1.7671029686035546,8.628780262598967,10.395883231202523,3.3409485593360757,51.92893933440016,53.793497477258676,1.7671029686035546,3.3409485593360757,8.628780262598967,51.92893933440016,10.395883231202523,53.793497477258676,8.628780262598967,51.92893933440016,10.395883231202523,53.793497477258676,17.903994371644835,92.78030954707648,17.903994371644835,92.78030954707648,7.523359937834864,38.98681206981781,7.523359937834864,38.98681206981781,10.380634433809968,53.793497477258676,10.380634433809968,53.793497477258676,346.3561606388762,411.50975554966936,620.1825033937187,0.2503702288869264,0.46214897193542404,0.5564487880712556,679.897330763148,1714.8217641013619,3156.1043522422788,0.09919768308359048,0.17669161115249848,0.2503612104275519,3156.250987753207,3156.250987753212,3156.250987753207,0.09919146665163017,0.09919146665163035,0.09919146665163017
1,0.09892806405785871,1.7216953221722604,8.543962639519723,10.265657961691984,3.8186191061909787,51.31443496358868,53.10661454344098,1.7216953221722604,3.8186191061909787,8.543962639519723,51.31443496358868,10.265657961691984,53.10661454344098,8.543962639519723,51.31443496358868,10.265657961691984,53.10661454344098,17.903994371644835,92.78030954707648,17.903994371644835,92.78030954707648,7.655909055649686,39.6736950036355,7.655909055649686,39.6736950036355,10.248085315995148,53.10661454344098,10.248085315995148,53.10661454344098,345.0526829180917,409.85553538853225,603.1369214889291,0.2673842730936643,0.46799708031619924,0.5613274439791254,638.8868496490915,1682.4192313685965,3173.2399553633995,0.09808253418118576,0.1842512521903918,0.2673698938605667,3173.264820234014,3173.264820234017,3173.264820234014,0.09808144579495326,0.09808144579495343,0.09808144579495326
2,0.1078393387575875,1.746914867965635,7.6681769508568225,9.415091818822457,3.6558655334177286,46.848528735928284,48.67583163191495,1.746914867965635,3.6558655334177286,7.6681769508568225,46.848528735928284,9.415091818822457,48.67583163191495,7.6681769508568225,46.848528735928284,9.415091818822457,48.67583163191495,17.903994371644835,92.78030954707648,17.903994371644835,92.78030954707648,8.51092573642171,44.10447791516153,8.51092573642171,44.10447791516153,9.393068635223125,48.67583163191495,9.393068635223125,48.67583163191495,368.5218504926016,424.83536962395965,581.9128820233606,0.29133362246041894,0.41875507111998866,0.4776306150263996,593.0061480265133,1619.0756973571722,3168.40905321041,0.09839657307647878,0.1970744847505454,0.29132746826267847,3168.429661141158,3168.4296611411614,3168.429661141158,0.09839563138709922,0.09839563138709911,0.09839563138709922
3,0.09492444788841534,1.753343318974115,8.767718937439007,10.521062256413124,3.132332515601511,52.596376714845576,54.45229319905884,1.753343318974115,3.132332515601511,8.767718937439007,52.596376714845576,10.521062256413124,54.45229319905884,8.767718937439007,52.596376714845576,10.521062256413124,54.45229319905884,17.903994371644835,92.78030954707648,17.903994371644835,92.78030954707648,7.396230863220289,38.32801634801764,7.396230863220289,38.32801634801764,10.507763508424546,54.45229319905884,10.507763508424546,54.45229319905884,346.99085531936305,407.26309255316306,612.0372975026747,0.25827678623316447,0.4665716718916221,0.5541104768390097,659.85606970606,1698.5428846807606,3182.438953919047,0.09748345501046127,0.18011645329125578,0.2582640104756707,3182.652101896283,3182.6521018962903,3182.652101896283,0.09747431717914236,0.09747431717914234,0.09747431717914236
4,0.09892806405785871,1.7267958905473841,8.416536328115653,10.143332218663037,3.5331479148997764,50.66795173050762,52.477538517231366,1.7267958905473841,3.5331479148997764,8.416536328115653,50.66795173050762,10.143332218663037,52.477538517231366,8.416536328115653,50.66795173050762,10.143332218663037,52.477538517231366,17.903994371644835,92.78030954707648,17.903994371644835,92.78030954707648,7.777303063576324,40.30277102984512,7.777303063576324,40.30277102984512,10.12669130806851,52.477538517231366,10.12669130806851,52.477538517231366,360.4551045446858,423.1383664055472,615.9893880803178,0.2543941593281275,0.42686809093101497,0.5038888423736971,669.5096181748384,1713.2559774339459,3178.731462326661,0.09772733600479877,0.17783143250927788,0.25438311772732336,3178.735779703553,3178.735779703554,3178.735779703553,0.0977271522676989,0.09772715226769899,0.0977271522676989
5,0.10176934004907659,1.7364222599232926,8.103200539058085,9.83962279898138,3.5626520096776466,49.07443045862831,50.89386353642836,1.7364222599232926,3.5626520096776466,8.103200539058085,49.07443045862831,9.83962279898138,50.89386353642836,8.103200539058085,49.07443045862831,9.83962279898138,50.89386353642836,17.903994371644835,92.78030954707648,17.903994371644835,92.78030954707648,8.082907863573514,41.88644601064812,8.082907863573514,41.88644601064812,9.821086508071321,50.89386353642836,9.821086508071321,50.89386353642836,347.6051828053349,412.61064535482745,616.5473471944255,0.25384370497139774,0.45920494493612035,0.5518697721895113,670.8843166509822,1710.5511405575942,3161.3476902738553,0.09885688393359093,0.178047242837593,0.25382294961961105,3161.3806068045787,3161.3806068045724,3161.3806068045787,0.09885547900102777,0.09885547900102769,0.09885547900102777
6,0.10551465840113651,1.7700262969341058,7.659805634336346,9.429831931270451,2.9186212480012546,46.89097178945088,48.77254776449297,1.7700262969341058,2.9186212480012546,7.659805634336346,46.89097178945088,9.429831931270451,48.77254776449297,7.659805634336346,46.89097178945088,9.429831931270451,48.77254776449297,17.903994371644835,92.78030954707648,17.903994371644835,92.78030954707648,8.492262238727237,44.007761782583515,8.492262238727237,44.007761782583515,9.411732132917598,48.77254776449297,9.411732132917598,48.77254776449297,344.3381189237511,400.87295254665537,594.5460019117393,0.2766855299103493,0.4805393676487574,0.5640468807277158,619.6416142499046,1636.7994346703506,3158.691353722144,0.099030588376495,0.19101667914000542,0.276674102373429,3158.7343013933723,3158.73430139338,3158.7343013933723,0.09902866765439607,0.09902866765439619,0.09902866765439607
7,0.1000904042360842,1.7137268498409122,8.346506728237086,10.060233578077998,3.9426357145822952,50.25616083501109,52.03525826607779,1.7137268498409122,3.9426357145822952,8.346506728237086,50.25616083501109,10.060233578077998,52.03525826607779,8.346506728237086,50.25616083501109,10.060233578077998,52.03525826607779,17.903994371644835,92.78030954707648,17.903994371644835,92.78030954707648,7.862650732343534,40.745051280998695,7.862650732343534,40.745051280998695,10.041343639301301,52.03525826607779,10.041343639301301,52.03525826607779,351.7083426354567,414.91062052308973,597.4242359629375,0.2735066894339792,0.4519626399664272,0.5357209788007109,625.9837252287957,1676.1321031986415,3201.5263499089765,0.09626450967936412,0.18641312948258765,0.27349050984615386,3201.5436653718175,3201.543665371818,3201.5436653718175,0.09626374921540767,0.0962637492154077,0.09626374921540767
8,0.11068061474880538,1.7816278567023238,7.224769489120386,9.006397345822709,3.129323093864072,44.66728576766248,46.556059104998255,1.7816278567023238,3.129323093864072,7.224769489120386,44.66728576766248,9.006397345822709,46.556059104998255,7.224769489120386,44.66728576766248,9.006397345822709,46.556059104998255,17.903994371644835,92.78030954707648,17.903994371644835,92.78030954707648,8.919982308622808,46.22425044207823,8.919982308622808,46.22425044207823,8.984012063022028,46.556059104998255,8.984012063022028,46.556059104998255,351.7834938202517,408.84079532187417,584.4632256971078,0.28827353225909624,0.4603115006241221,0.5354300913099174,598.1893638330527,1612.4748509393894,3155.164872118004,0.09925974430776288,0.19685479290372448,0.2882669125724965,3155.3154138850696,3155.3154138850696,3155.3154138850696,0.09925287005289961,0.09925287005289953,0.09925287005289961
9,0.0994446596926256,1.7892043772040138,8.177865992017594,9.96707036922161,2.511341575143478,49.66333589995661,51.576507010603926,1.7892043772040138,2.511341575143478,8.177865992017594,49.66333589995661,9.96707036922161,51.576507010603926,8.177865992017594,49.66333589995661,9.96707036922161,51.576507010603926,17.903994371644835,92.78030954707648,17.903994371644835,92.78030954707648,7.951176842421036,41.20380253647256,7.951176842421036,41.20380253647256,9.952817529223799,51.576507010603926,9.952817529223799,51.576507010603926,355.1436662573757,407.90413617468084,603.3583024518738,0.26715670008890335,0.45233477978978814,0.5227485079956771,639.3647537458598,1653.5272363706908,3152.8110265710147,0.09941400791636718,0.18666392800123713,0.26715143375244127,3152.9680883852498,3152.968088385246,3152.9680883852498,0.09940709790056632,0.09940709790056636,0.09940709790056632
